artist_name,artist_spid,artist_followers,artist_popularity,artist_genres,2016,2017,2018,2019,2021
Keane,53A0W3U0s8diEn9RhXQhVz,2129901.0,74.0,"['neo mellow', 'piano rock', 'pop rock', 'rock']",0,0,0,1,0
Kiki Morente,2cyGMEu14p4ITUF98O6ooR,4915.0,31.0,['nuevo flamenco'],0,0,0,0,1
Kim Ann Foxman,5G9mybyLYAE00Mhd3tTVNS,6202.0,28.0,['nu disco'],0,0,1,0,0
Kraftwerk,0dmPX6ovclgOy8WWJaFEUU,532563.0,59.0,"['art rock', 'dance rock', 'dusseldorf electronic', 'early synthpop', 'electro', 'krautrock', 'new romantic', 'new wave', 'proto-techno', 'synthpop']",0,0,1,0,0
Ky-Mani Marley,1XTGADISSMRf8B4TcVGYUC,276623.0,64.0,"['modern reggae', 'reggae', 'reggae fusion', 'roots reggae']",0,0,1,0,0
LP,0J7U24vlOOIeMpuaO6Q85A,1975280.0,73.0,"['la pop', ""women's music""]",0,0,0,1,1
La Barbería Del Sur,2dvZ2hSWWctLAlk2nrHjJH,10617.0,40.0,"['flamenco', 'pop flamenco', 'rumba']",0,0,0,0,1
La La Land,,,,,0,1,0,0,0
Les Amazones d'Afrique,6dHMq5KZ8ScqdzsCKGagdo,11507.0,26.0,"['afropop', 'world']",0,1,0,0,0
Little Dragon,6Tyzp9KzpiZ04DABQoedps,557649.0,68.0,"['alternative dance', 'alternative r&b', 'art pop', 'chillwave', 'downtempo', 'electronica', 'electropop', 'escape room', 'gothenburg indie', 'indie soul', 'indietronica', 'new rave', 'swedish electropop', 'swedish synthpop', 'trip hop']",0,0,0,0,1
Little Steven,4Pmlf0hZYXcoDSuaNrw23E,17897.0,38.0,"['pub rock', 'roots rock']",0,0,1,0,0
Loreena McKennitt,1JdeDdujDbS6ZeSlkXqx3a,326445.0,60.0,"['canadian celtic', 'celtic', 'medieval folk', 'new age', 'world']",0,0,0,1,0
Los Planetas,0N1TIXCk9Q9JbEPXQDclEL,129236.0,52.0,"['granada indie', 'indie catala', 'indie rock', 'latin rock', 'rock andaluz', 'spanish indie pop', 'spanish modern rock', 'spanish noise pop']",0,0,0,1,0
Los Secretos,2KEDbpUlz9nwtGywHT4gyf,259837.0,60.0,"['cantautor', 'latin arena pop', 'spanish new wave', 'spanish pop', 'spanish pop rock']",0,0,0,0,1
M83,63MQldklfxkjYDoUE4Tppz,1856930.0,74.0,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']",1,0,0,0,0
Macy Gray,4ylR3zwA0zaapAu94fktwa,489519.0,65.0,"['neo soul', 'pop rock']",0,0,0,1,0
Madeleine Peyroux,7nXyULtoL8k7wP9l6kg8Ef,328791.0,64.0,"['adult standards', 'contemporary vocal jazz', 'jazz pop', 'lounge', 'soul', 'vocal jazz']",0,1,0,0,0
Madness,4AYkFtEBnNnGuoo8HaHErd,510588.0,65.0,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'ska', 'ska revival']",0,0,0,1,0
Maria Creuza,2S5INEKtRSZPRx3JhjEZF5,29941.0,44.0,['bossa nova'],1,0,0,0,0
Marillion,7ai5TWiOG8g9Hds5AATS28,326735.0,61.0,"['album rock', 'art rock', 'classic rock', 'neo-progressive', 'progressive rock', 'soft rock', 'symphonic rock']",1,0,0,0,0
Mariza,65nZq8l5VZRG4X445F5kmN,211100.0,53.0,"['fado', 'portuguese pop']",1,0,0,0,0
Mark Guiliana,798TUNb6IfpsZzMkkzVGu1,23098.0,41.0,['jazztronica'],1,0,0,0,0
Masego,3ycxRkcZ67ALN3GQJ57Vig,773286.0,76.0,"['alternative r&b', 'indie soul']",0,0,0,1,0
Mayra Andrade,7uriYlc9ETgOg8VPFbdnbE,127764.0,57.0,"['afropop', 'morna', 'world']",0,0,0,0,1
Melody Gardot,2P1puQXmG48EVLBrHbum1J,494966.0,66.0,"['adult standards', 'contemporary vocal jazz', 'lounge', 'soul', 'vocal jazz']",1,0,0,1,0
Michael Bolton,6YHEMoNPbcheiWS2haGzkn,1139011.0,69.0,"['adult standards', 'soft rock']",0,0,0,1,0
Miguel Poveda,0BwjxWHTct80Qp5Xk7pxZj,139555.0,55.0,"['copla', 'flamenco', 'nuevo flamenco', 'rumba']",0,0,1,0,0
Milton Nascimento,3Bnq7jiU506HcPjRgQ43TM,520420.0,64.0,"['bossa nova', 'mpb', 'musica popular mineira', 'samba']",0,0,0,1,0
Miss Kittin,3QhNv79NoIvarU6N57GBzL,109397.0,49.0,"['alternative dance', 'dance-punk', 'electra', 'electroclash', 'electronica', 'french techno', 'new rave']",0,0,1,0,0
Molotov,27Owkm4TGlMqb0BqaEt3PW,1747209.0,69.0,"['latin alternative', 'latin hip hop', 'latin rock', 'mexican hip hop', 'mexican rock', 'rock en espanol']",1,0,0,0,0
Monsieur Periné,36KsCCwgI0Dep97yVJWmkK,390327.0,62.0,"['colombian pop', 'gypsy jazz', 'latin', 'latin alternative', 'latin pop', 'latin rock']",0,0,1,1,0
Nando Agüeros,6ABav84uUmY0ykSMNJ1bQ5,5372.0,35.0,['folk cantabria'],0,0,0,0,1
Niña Pastori,6UelqIK8qwhWFc2f6nSEh8,555056.0,64.0,"['flamenco', 'pop flamenco', 'rumba', 'spanish pop']",0,0,0,1,0
Norah Jones,2Kx7MNY7cI1ENniW7vT30N,2445047.0,77.0,"['adult standards', 'contemporary vocal jazz', 'jazz pop', 'neo mellow', 'vocal jazz']",0,0,1,0,0
O Sister!,6XmkIGYefmxBGWP3LtrAnY,3895.0,19.0,['modern swing'],0,0,0,1,0
Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,3102204.0,74.0,"['folk-pop', 'indie pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']",0,0,0,0,1
Orishas,2gKYxTUOqw9aPt7ljMwSHT,365259.0,61.0,"['conscious hip hop', 'cuban alternative', 'hip hop cubano', 'latin alternative', 'latin hip hop']",0,1,0,1,0
Oscar D'León,1c84wItoiAe1pEbpJMqUmQ,719465.0,61.0,"['latin', 'latin jazz', 'salsa', 'salsa venezolana', 'tropical']",0,0,0,0,1
Pablo Milanés,4vOfKh5wz7lTcdqB3EwsC5,340045.0,59.0,"['bolero cubano', 'cantautor', 'nueva cancion', 'trova']",0,1,0,0,0
Pat Metheny,3t58jfUhoMLYVO14XaUFLA,231533.0,58.0,"['avant-garde jazz', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz funk', 'jazz fusion', 'jazz guitar']",0,0,1,0,1
Patti Smith,0vYkHhJ48Bs3jWcvZXvOrP,721590.0,63.0,"['art punk', 'art rock', 'dance rock', 'folk rock', 'permanent wave', 'protopunk', 'rock']",1,0,0,0,0
Patáx,2BqUKBibADI54rpSuLi8NU,10301.0,23.0,['spanish jazz'],0,0,0,0,1
Paul Carrack,0FFuvdY7fuiuTmHN9unYoz,122348.0,56.0,"['adult standards', 'classic uk pop', 'mellow gold', 'neo soul', 'new wave pop', 'soft rock']",0,0,0,1,0
Phoenix,1xU878Z1QtBldR7ru9owdU,1658404.0,68.0,"['alternative dance', 'dance-punk', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'rock independant francais']",0,0,1,0,0
Pink Martini,6KyUat70qaniuiZq63HzFZ,283019.0,63.0,"['adult standards', 'lounge', 'vocal jazz']",1,0,0,1,0
Quilapayún,76sZcEL2ZXBTqNeFJAhlup,87001.0,48.0,"['cantautor', 'chilean rock', 'musica andina', 'nueva cancion', 'trova']",1,0,0,0,0
Robert Plant,1OwarW4LEHnoep20ixRA0y,758682.0,60.0,"['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'mellow gold', 'progressive rock', 'rock', 'roots rock', 'soft rock', 'symphonic rock', 'uk americana']",1,0,0,0,0
Rosendo,37zqX7euodV1GzIuIsbyoi,158.0,23.0,[],0,1,0,0,0
Rozalén,5soMpG6E6oApEiCZgrWeVz,519570.0,69.0,['spanish pop'],1,0,0,0,0
Rubén Blades,5BwMgvRwlq61SmknvsVIQj,786225.0,67.0,"['latin jazz', 'salsa', 'tipico', 'tropical']",0,1,0,0,0
Rufus T. Firefly,51Hx65ymA6pNWu8cTTXET1,24249.0,42.0,"['latin rock', 'rock alternativo espanol', 'spanish modern rock', 'spanish noise pop']",0,0,0,1,0
Rufus Wainwright,2PfBzriIMRsCXPDtSy9vg8,251497.0,60.0,"['canadian pop', 'chamber pop', 'melancholia', 'piano rock', 'singer-songwriter']",0,0,1,0,1
Russian Red,47wB3vlOd130dM3k5fADQw,182682.0,50.0,"['spanish indie folk', 'spanish indie pop']",0,0,0,1,0
Salif Keita,0VVnWF3KNaa5O7ESohKhAx,95678.0,52.0,"['afropop', 'malian blues', 'mande pop', 'world']",0,1,0,0,0
Salvador Sobral,0GfYO21pue5u0sVEYk9HZO,90139.0,48.0,['portuguese pop'],0,0,0,1,0
Seal,5GtMEZEeFFsuHY8ad4kOxv,1224063.0,68.0,"['british soul', 'soft rock']",1,0,0,0,0
Seu Jorge,0i1s9WcIu0PrUvHzALgofo,869029.0,69.0,"['mpb', 'samba', 'samba-rock']",0,0,1,0,0
Simple Minds,6hN9F0iuULZYWXppob22Aj,1230113.0,71.0,"['art rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'scottish new wave', 'soft rock', 'synthpop']",0,0,1,0,0
Smith & Thell,1ZrBGJWLL8NiAjgNifCy90,56265.0,67.0,['swedish pop'],0,0,0,0,1
Snarky Puppy,7ENzCHnmJUr20nUjoZ0zZ1,486261.0,56.0,"['contemporary jazz', 'funk rock', 'jazz funk', 'jazz fusion', 'modern funk', 'progressive jazz fusion']",0,0,0,1,0
Steve Hackett,4vs7NIU7kZc2Efh6yOGKEZ,100281.0,48.0,"['album rock', 'art rock', 'instrumental rock', 'jazz fusion', 'neo-progressive', 'progressive metal', 'progressive rock', 'symphonic rock']",0,1,0,0,0
Steve Vai,32Jb1X3wSmmoHj2epZReZA,384762.0,54.0,"['instrumental rock', 'metal guitar', 'neo classical metal', 'shred']",1,0,0,0,0
Supersonic Blues Machine,4Q4I3c5ixM1EqJ9svcleRD,9469.0,31.0,"['modern blues', 'modern blues rock', 'modern hard rock']",0,0,0,1,0
Supertramp,3JsMj0DEzyWc0VDlHuy9Bx,2089339.0,74.0,"['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'piano rock', 'progressive rock', 'rock', 'soft rock']",0,1,0,1,0
Tank and The Bangas,5cAtakaadWHJLxmGKrKcX7,156159.0,50.0,"['indie soul', 'new orleans funk']",0,0,0,1,0
The Chieftains,6AnrSlk5Gp1YMXgaI3mWCL,70994.0,53.0,"['celtic', 'irish folk']",0,0,0,1,0
The Cinematic Orchestra,32ogthv0BdaSMPml02X9YB,497044.0,67.0,"['downtempo', 'electronica', 'ninja', 'nu jazz']",0,0,0,0,1
The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,4148942.0,81.0,"['folk-pop', 'modern rock', 'stomp and holler']",1,0,0,0,0
The Paco De Lucia Sextet,539gaeexzlWHtNXOxz3QNN,6228.0,17.0,"['flamenco', 'flamenco guitar', 'rumba']",0,0,0,1,0
The Roots,78xUyw6FkVZrRAtziFdtdu,1007313.0,66.0,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'neo soul', 'philly rap', 'political hip hop', 'southern hip hop']",0,0,0,1,0
The Waterboys,5TnuP42pw475UrjjeabtwZ,178238.0,61.0,"['art rock', 'celtic rock', 'dance rock', 'new wave pop', 'rock', 'scottish new wave', 'scottish rock']",0,0,0,1,0
Tigran Hamasyan,0D3h8NZqNp7BN97JwtV6eW,97959.0,49.0,"['contemporary jazz', 'jazz piano', 'modern jazz piano']",0,0,0,0,1
Tom Jones,1T0wRBO0CK0vK8ouUMqEl5,537793.0,68.0,"['adult standards', 'british invasion', 'mellow gold']",0,0,0,0,1
Tomatito,3wxFXeuHQEq4NubZunCIMe,62352.0,57.0,"['flamenco', 'flamenco guitar', 'nuevo flamenco', 'rumba']",0,0,0,1,1
Tony Bennett,2lolQgalUvZDfp5vvVtTYV,610290.0,69.0,"['adult standards', 'easy listening', 'vocal jazz']",0,1,0,0,0
Tony Succar,17S2mEKDY4xHBWCy9kAPzk,35605.0,50.0,"['modern salsa', 'salsa peruana']",0,0,0,0,1
Toquinho,7rPqFVgJYARiFsLDlN6W6y,278820.0,67.0,"['bossa nova', 'mpb', 'samba', 'violao']",1,0,0,0,0
Toundra,3cgIU3hh7Y4pUsPgHB8aYT,38612.0,34.0,"['instrumental post-rock', 'post-rock', 'spanish post-rock', 'spanish progressive rock']",1,0,0,0,0
Trombone Shorty,37ZvFp654tY74Z1D2TLOGR,136013.0,52.0,"['funk', 'jazz trombone', 'modern funk', 'new orleans funk']",0,0,1,0,0
Tulsa,2gtVnbrVpID8VrotZPOg2a,25466.0,53.0,"['latin rock', 'spanish indie pop', 'spanish modern rock', 'spanish noise pop']",1,0,0,0,0
Twanguero,1qupsn74dUofcXCZCBEwMS,3728.0,31.0,['spanish folk rock'],0,0,0,1,1
UB40,69MEO1AADKg1IZrq2XLzo5,1628787.0,72.0,"['reggae', 'reggae fusion', 'uk reggae']",0,1,0,0,0
Vicente Garcia,2Otnykd696YidQYfEGVmNq,322499.0,65.0,"['bachata', 'dominican pop', 'latin', 'latin alternative', 'latin pop', 'reggae en espanol']",0,0,0,0,1
Vintage Trouble,72Pauuctba5lMzC89R0Vk0,107046.0,47.0,"['funk', 'modern blues rock']",0,0,0,0,1
Víctor Manuel,6cFqY5mkBqKqaIYunDg1k8,180418.0,57.0,"['cantautor', 'nueva cancion', 'spanish pop', 'trova']",0,0,0,0,1
Wilco,2QoU3awHVdcHS8LrZEKvSM,573751.0,65.0,"['alternative country', 'alternative rock', 'chicago indie', 'folk rock', 'indie pop', 'indie rock', 'pop rock', 'rock', 'roots rock', 'stomp and holler']",1,0,0,0,1
Woodkid,44TGR1CzjKBxSHsSEy7bi9,619431.0,66.0,['chamber pop'],0,0,0,0,1
Woody Allen,7HPDGnxb8oSBQ0HuNx2xqR,14522.0,30.0,['comedy'],0,0,0,1,0
Ximena Sariñana,7plUpXSFcSJUZSiZAoXqr1,991405.0,70.0,"['latin', 'latin alternative', 'latin pop', 'mexican pop']",0,0,0,1,0
Xoel López,59bV1Zv97BwGJYy6O2SvUx,79776.0,62.0,"['cantautor', 'latin rock', 'spanish indie pop', 'spanish rock']",1,0,0,0,0
Yann Tiersen,00sazWvoTLOqg5MFwC68Um,844261.0,70.0,"['bow pop', 'compositional ambient', 'french soundtrack']",0,0,0,0,1
Youssou N'Dour,77zlytAFjPFjUKda8TNIDY,110380.0,58.0,"['afropop', 'mande pop', 'mbalax', 'world']",0,0,0,0,1
Zahara,7uLePkJ2f0MwEcphODfkuu,176039.0,61.0,"['cantautor', 'latin rock', 'spanish indie pop', 'spanish pop', 'spanish rock']",0,0,0,1,0
Zenet,2s7td67DdtSXTx2TGzs01i,60448.0,49.0,"['cantautor', 'flamenco', 'rumba']",0,0,0,0,1
Zoé,6IdtcAwaNVAggwd6sCKgTI,3301298.0,76.0,"['latin alternative', 'latin rock', 'mexican rock', 'morelos indie', 'rock en espanol']",0,0,1,0,0
Zucchero,2KftmGt9sk1yLjsAoloC3M,560552.0,66.0,"['classic italian pop', 'italian adult pop', 'italian pop rock']",0,0,0,0,1
